Word,Part of Speech,Simple English Definition,Citizenship Definition,Chinese,Pinyin,Spanish,Example Sentence,Question Number,Audio File,Approved
amendment,n.,a change or addition to a law or document,A formal change added to the U.S. Constitution,修正案,xiū zhèng àn,enmienda,"In civics class, we learned the word 'amendment' for question 5.",5,,No
Constitution,n.,the basic written plan for a government,The highest law that creates and limits the U.S. government,宪法,xiàn fǎ,Constitución,"In civics class, we learned the word 'Constitution' for question 2.",2,,No
branch,n.,one main part of something larger,"One of the three parts of government: legislative, executive, or judicial",部门,bù mén,rama,"In civics class, we learned the word 'branch' for question 13.",13,,No
representative,n.,a person chosen to speak or act for others,A House member elected by people in a district,代表,dài biǎo,representante,"In civics class, we learned the word 'representative' for question 22.",22,,No
senator,n.,an elected member of a senate,A member of the U.S. Senate elected by a state,参议员,cān yì yuán,senador,"In civics class, we learned the word 'senator' for question 18.",18,,No
governor,n.,the elected leader of a state,The chief executive of a U.S. state,州长,zhōu zhǎng,gobernador,"In civics class, we learned the word 'governor' for question 43.",43,,No
citizen,n.,a legal member of a country,A person with rights and responsibilities in the United States,公民,gōng mín,ciudadano,"In civics class, we learned the word 'citizen' for question 57.",57,,No
freedom,n.,"the power to act, speak, or believe without unfair control","A protected right in U.S. democracy, such as speech or religion",自由,zì yóu,libertad,"In civics class, we learned the word 'freedom' for question 6.",6,,No
allegiance,n.,loyalty to a country or leader,Loyalty promised to the United States in the Oath,效忠,xiào zhōng,lealtad,"In civics class, we learned the word 'allegiance' for question 53.",53,,No
territory,n.,land controlled by a country,A U.S.-controlled area that is not a state,领土,lǐng tǔ,territorio,"In civics class, we learned the word 'territory' for question 23.",23,,No
republic,n.,a country where people elect leaders,The U.S. form of government with elected representatives,共和国,gòng hé guó,república,"In civics class, we learned the word 'republic' for question 1.",1,,No
supreme,adj.,highest or most important,Describes the Constitution as the highest law,最高的,zuì gāo de,supremo,"In civics class, we learned the word 'supreme' for question 2.",2,,No
law,n.,an official rule,Rules made by government that everyone must follow,法律,fǎ lǜ,ley,"In civics class, we learned the word 'law' for question 2.",2,,No
government,n.,the system that leads and makes rules for a country,"The institutions that make, enforce, and interpret laws",政府,zhèng fǔ,gobierno,"In civics class, we learned the word 'government' for question 3.",3,,No
self-government,n.,people rule themselves,The idea that U.S. power comes from the people,自治,zì zhì,autogobierno,"In civics class, we learned the word 'self-government' for question 4.",4,,No
Bill of Rights,n.,the first ten amendments,The first ten amendments that protect basic rights,权利法案,quán lì fǎ àn,Carta de Derechos,"In civics class, we learned the word 'Bill of Rights' for question 6.",6,,No
rights,n.,legal or moral freedoms people have,Protections the government must respect,权利,quán lì,derechos,"In civics class, we learned the word 'rights' for question 6.",6,,No
protect,v.,to keep safe,What the Bill of Rights does for people’s freedoms,保护,bǎo hù,proteger,"In civics class, we learned the word 'protect' for question 6.",6,,No
religion,n.,belief and worship about God or gods,A First Amendment freedom people may practice or not practice,宗教,zōng jiào,religión,"In civics class, we learned the word 'religion' for question 12.",12,,No
speech,n.,spoken words; expression,A First Amendment freedom to express ideas,言论,yán lùn,expresión,"In civics class, we learned the word 'speech' for question 6.",6,,No
press,n.,news organizations and publishing,"A First Amendment freedom for newspapers, media, and publishing",新闻出版,xīn wén chū bǎn,prensa,"In civics class, we learned the word 'press' for question 6.",6,,No
assembly,n.,a meeting of people,A First Amendment right to gather peacefully,集会,jí huì,asamblea,"In civics class, we learned the word 'assembly' for question 6.",6,,No
petition,v.,to formally ask government for change,A First Amendment right to ask government to fix problems,请愿,qǐng yuàn,peticionar,"In civics class, we learned the word 'petition' for question 6.",6,,No
Declaration of Independence,n.,the document that announced separation from Britain,The 1776 document saying the colonies were free and independent,独立宣言,dú lì xuān yán,Declaración de Independencia,"In civics class, we learned the word 'Declaration of Independence' for question 8.",8,,No
independence,n.,freedom from another country’s control,The colonies’ separation from Great Britain,独立,dú lì,independencia,"In civics class, we learned the word 'independence' for question 8.",8,,No
liberty,n.,freedom,A natural right named in the Declaration of Independence,自由,zì yóu,libertad,"In civics class, we learned the word 'liberty' for question 9.",9,,No
pursuit,n.,the act of trying to get something,"Part of “pursuit of happiness,” a right named in the Declaration",追求,zhuī qiú,búsqueda,"In civics class, we learned the word 'pursuit' for question 9.",9,,No
happiness,n.,well-being and satisfaction,A right people may seek under the Declaration’s ideals,幸福,xìng fú,felicidad,"In civics class, we learned the word 'happiness' for question 9.",9,,No
economic,adj.,"about money, business, and jobs",Describes the U.S. market or capitalist system,经济的,jīng jì de,económico,"In civics class, we learned the word 'economic' for question 11.",11,,No
capitalist economy,n.,an economy with private business ownership,An accepted answer for the U.S. economic system,资本主义经济,zī běn zhǔ yì jīng jì,economía capitalista,"In civics class, we learned the word 'capitalist economy' for question 11.",11,,No
market economy,n.,an economy where buyers and sellers help set prices,An accepted answer for the U.S. economic system,市场经济,shì chǎng jīng jì,economía de mercado,"In civics class, we learned the word 'market economy' for question 11.",11,,No
rule of law,n.,the idea that everyone must obey the law,A principle that leaders and citizens are not above the law,法治,fǎ zhì,estado de derecho,"In civics class, we learned the word 'rule of law' for question 12.",12,,No
obey,v.,to follow a rule or order,"What everyone, including leaders, must do with laws",遵守,zūn shǒu,obedecer,"In civics class, we learned the word 'obey' for question 12.",12,,No
above the law,phrase,not required to follow laws,The rule of law says no one has this special status,凌驾于法律之上,líng jià yú fǎ lǜ zhī shàng,por encima de la ley,"In civics class, we learned the word 'above the law' for question 12.",12,,No
checks and balances,n.,ways parts of government limit each other,A system that stops one branch from becoming too powerful,制衡,zhì héng,pesos y contrapesos,"In civics class, we learned the word 'checks and balances' for question 14.",14,,No
separation of powers,n.,dividing government power into parts,"Power is divided among legislative, executive, and judicial branches",权力分立,quán lì fēn lì,separación de poderes,"In civics class, we learned the word 'separation of powers' for question 14.",14,,No
powerful,adj.,having much control or authority,A branch can become too strong without checks and balances,强大的,qiáng dà de,poderoso,"In civics class, we learned the word 'powerful' for question 14.",14,,No
executive,adj./n.,about carrying out laws,The branch led by the President that enforces laws,行政,xíng zhèng,ejecutivo,"In civics class, we learned the word 'executive' for question 15.",15,,No
legislative,adj.,about making laws,"The branch, Congress, that makes federal laws",立法,lì fǎ,legislativo,"In civics class, we learned the word 'legislative' for question 16.",16,,No
judicial,adj.,about courts and judges,The branch that interprets laws and the Constitution,司法,sī fǎ,judicial,"In civics class, we learned the word 'judicial' for question 37.",37,,No
Congress,n.,the national lawmaking body,The Senate and House of Representatives together,国会,guó huì,Congreso,"In civics class, we learned the word 'Congress' for question 16.",16,,No
Senate,n.,one part of Congress,The chamber with two senators from each state,参议院,cān yì yuàn,Senado,"In civics class, we learned the word 'Senate' for question 17.",17,,No
House of Representatives,n.,one part of Congress,The chamber based on state population and districts,众议院,zhòng yì yuàn,Cámara de Representantes,"In civics class, we learned the word 'House of Representatives' for question 17.",17,,No
federal,adj.,about the national government,Laws or offices of the U.S. national government,联邦的,lián bāng de,federal,"In civics class, we learned the word 'federal' for question 16.",16,,No
national,adj.,about the whole country,"Describes the U.S. government, laws, or anthem",国家的,guó jiā de,nacional,"In civics class, we learned the word 'national' for question 16.",16,,No
legislature,n.,a group that makes laws,Congress is the national legislature,立法机关,lì fǎ jī guān,legislatura,"In civics class, we learned the word 'legislature' for question 16.",16,,No
elect,v.,to choose by voting,"Citizens elect presidents, senators, and representatives",选举,xuǎn jǔ,elegir,"In civics class, we learned the word 'elect' for question 19.",19,,No
voting members,n.,officials who can vote in a lawmaking body,The House has 435 voting members,有投票权成员,yǒu tóu piào quán chéng yuán,miembros con voto,"In civics class, we learned the word 'voting members' for question 21.",21,,No
population,n.,the number of people living in a place,A reason some states have more representatives,人口,rén kǒu,población,"In civics class, we learned the word 'population' for question 25.",25,,No
state,n.,one political unit in the United States,One of the 50 parts of the United States with its own government,州,zhōu,estado,"In civics class, we learned the word 'state' for question 24.",24,,No
district,n.,an area represented by an elected official,A House member represents people in a congressional district,选区,xuǎn qū,distrito,"In civics class, we learned the word 'district' for question 23.",23,,No
nonvoting,adj.,not allowed to vote officially,Some territorial delegates in Congress are nonvoting,无投票权的,wú tóu piào quán de,sin voto,"In civics class, we learned the word 'nonvoting' for question 23.",23,,No
delegate,n.,a person chosen to represent others,Some territories have delegates in Congress,代表,dài biǎo,delegado,"In civics class, we learned the word 'delegate' for question 23.",23,,No
commissioner,n.,an official with a specific public role,Puerto Rico has a resident commissioner in Congress,专员,zhuān yuán,comisionado,"In civics class, we learned the word 'commissioner' for question 23.",23,,No
President,n.,the elected head of the U.S. executive branch,The chief executive of the United States,总统,zǒng tǒng,presidente,"In civics class, we learned the word 'President' for question 26.",26,,No
Vice President,n.,the official next in line after the President,The person who becomes President if the President cannot serve,副总统,fù zǒng tǒng,vicepresidente,"In civics class, we learned the word 'Vice President' for question 29.",29,,No
serve,v.,to work in an official role,How long elected officials hold office,任职,rèn zhí,servir,"In civics class, we learned the word 'serve' for question 19.",19,,No
term,n.,a fixed time in office,Senators serve six-year terms; presidents serve four-year terms,任期,rèn qī,mandato,"In civics class, we learned the word 'term' for question 19.",19,,No
Commander in Chief,n.,top leader of the military,The President’s role over the U.S. armed forces,总司令,zǒng sī lìng,comandante en jefe,"In civics class, we learned the word 'Commander in Chief' for question 32.",32,,No
military,n./adj.,armed forces or related to them,The President is Commander in Chief of the military,军队,jūn duì,militar,"In civics class, we learned the word 'military' for question 32.",32,,No
armed forces,n.,a country’s military services,"The Army, Navy, Air Force, Marines, Coast Guard, and Space Force",武装部队,wǔ zhuāng bù duì,fuerzas armadas,"In civics class, we learned the word 'armed forces' for question 32.",32,,No
sign,v.,to write a name to approve officially,The President signs bills to make them laws,签署,qiān shǔ,firmar,"In civics class, we learned the word 'sign' for question 33.",33,,No
bill,n.,a proposed law,Congress passes bills and the President may sign or veto them,法案,fǎ àn,proyecto de ley,"In civics class, we learned the word 'bill' for question 33.",33,,No
veto,v.,to reject a proposed law,A power of the President to stop a bill from becoming law,否决,fǒu jué,vetar,"In civics class, we learned the word 'veto' for question 34.",34,,No
Cabinet,n.,top advisers to the President,Leaders of executive departments who advise the President,内阁,nèi gé,gabinete,"In civics class, we learned the word 'Cabinet' for question 35.",35,,No
advises,v.,gives suggestions or expert help,The Cabinet advises the President,建议,jiàn yì,asesora,"In civics class, we learned the word 'advises' for question 35.",35,,No
Secretary,n.,a high-level department leader,Many Cabinet positions are called Secretary of a department,部长,bù zhǎng,secretario,"In civics class, we learned the word 'Secretary' for question 36.",36,,No
Attorney General,n.,the top federal legal officer,The Cabinet official leading the Department of Justice,司法部长,sī fǎ bù zhǎng,fiscal general,"In civics class, we learned the word 'Attorney General' for question 36.",36,,No
department,n.,a large part of government with a job,"Cabinet-level offices such as Defense, State, or Education",部门,bù mén,departamento,"In civics class, we learned the word 'department' for question 36.",36,,No
Supreme Court,n.,the highest court in the United States,The top court of the judicial branch,最高法院,zuì gāo fǎ yuàn,Corte Suprema,"In civics class, we learned the word 'Supreme Court' for question 37.",37,,No
court,n.,a place or body where judges decide legal cases,Federal courts interpret laws and the Constitution,法院,fǎ yuàn,tribunal,"In civics class, we learned the word 'court' for question 37.",37,,No
justice,n.,a judge on the Supreme Court; fairness under law,A member of the U.S. Supreme Court,大法官,dà fǎ guān,juez/magistrado,"In civics class, we learned the word 'justice' for question 38.",38,,No
Chief Justice,n.,the leading justice of the Supreme Court,The head of the U.S. Supreme Court,首席大法官,shǒu xí dà fǎ guān,presidente de la Corte Suprema,"In civics class, we learned the word 'Chief Justice' for question 39.",39,,No
interpret,v.,to explain the meaning,The Supreme Court interprets laws and the Constitution,解释,jiě shì,interpretar,"In civics class, we learned the word 'interpret' for question 40.",40,,No
review,v.,to examine carefully,Judicial review lets courts examine laws and actions,审查,shěn chá,revisar,"In civics class, we learned the word 'review' for question 40.",40,,No
unconstitutional,adj.,not allowed by the Constitution,Courts may decide a law violates the Constitution,违宪的,wéi xiàn de,inconstitucional,"In civics class, we learned the word 'unconstitutional' for question 40.",40,,No
establish,v.,to create or set up,The Constitution establishes the government,建立,jiàn lì,establecer,"In civics class, we learned the word 'establish' for question 3.",3,,No
foreign,adj.,about other countries,Foreign policy concerns U.S. relations with other nations,外国的,wài guó de,extranjero,"In civics class, we learned the word 'foreign' for question 31.",31,,No
policy,n.,a plan or rules for action,"Government policy guides decisions, such as foreign policy",政策,zhèng cè,política,"In civics class, we learned the word 'policy' for question 31.",31,,No
treaty,n.,a formal agreement between countries,The President makes treaties with Senate approval,条约,tiáo yuē,tratado,"In civics class, we learned the word 'treaty' for question 31.",31,,No
ambassador,n.,an official representative to another country,The President appoints ambassadors,大使,dà shǐ,embajador,"In civics class, we learned the word 'ambassador' for question 31.",31,,No
appoint,v.,to choose someone for a job,The President appoints judges and Cabinet members,任命,rèn mìng,nombrar,"In civics class, we learned the word 'appoint' for question 31.",31,,No
approve,v.,to officially accept,The Senate approves treaties and appointments,批准,pī zhǔn,aprobar,"In civics class, we learned the word 'approve' for question 31.",31,,No
appointment,n.,the act of choosing someone for office,Senate approval is needed for many presidential appointments,任命,rèn mìng,nombramiento,"In civics class, we learned the word 'appointment' for question 31.",31,,No
Department of State,n.,agency for foreign relations,A Cabinet department led by the Secretary of State,国务院,guó wù yuàn,Departamento de Estado,"In civics class, we learned the word 'Department of State' for question 36.",36,,No
Department of Defense,n.,agency for national defense,A Cabinet department responsible for the military,国防部,guó fáng bù,Departamento de Defensa,"In civics class, we learned the word 'Department of Defense' for question 36.",36,,No
Department of Education,n.,agency for education policy,A Cabinet department related to schools and education,教育部,jiào yù bù,Departamento de Educación,"In civics class, we learned the word 'Department of Education' for question 36.",36,,No
Department of Homeland Security,n.,agency for safety inside the country,"A Cabinet department for immigration, borders, and security",国土安全部,guó tǔ ān quán bù,Departamento de Seguridad Nacional,"In civics class, we learned the word 'Department of Homeland Security' for question 36.",36,,No
Secretary of State,n.,leader of the State Department,The Cabinet official for foreign affairs,国务卿,guó wù qīng,secretario de Estado,"In civics class, we learned the word 'Secretary of State' for question 36.",36,,No
Secretary of Defense,n.,leader of the Defense Department,The Cabinet official responsible for defense and military matters,国防部长,guó fáng bù zhǎng,secretario de Defensa,"In civics class, we learned the word 'Secretary of Defense' for question 36.",36,,No
Secretary of Education,n.,leader of the Education Department,A Cabinet official for federal education matters,教育部长,jiào yù bù zhǎng,secretario de Educación,"In civics class, we learned the word 'Secretary of Education' for question 36.",36,,No
Homeland Security,n.,protection of the country within its borders,A Cabinet department and national security area,国土安全,guó tǔ ān quán,seguridad nacional interna,"In civics class, we learned the word 'Homeland Security' for question 36.",36,,No
state government,n.,government of one U.S. state,The level that has governors and state legislatures,州政府,zhōu zhèng fǔ,gobierno estatal,"In civics class, we learned the word 'state government' for question 41.",41,,No
local government,n.,"city, county, or town government",Government closest to a community,地方政府,dì fāng zhèng fǔ,gobierno local,"In civics class, we learned the word 'local government' for question 41.",41,,No
capital,n.,the city where government is located,"Washington, D.C. is the U.S. capital; states also have capitals",首都/州府,shǒu dū / zhōu fǔ,capital,"In civics class, we learned the word 'capital' for question 44.",44,,No
"Washington, D.C.",n.,the capital city of the United States,"The national capital, not a state",华盛顿特区,huá shèng dùn tè qū,"Washington, D.C.","In civics class, we learned the word 'Washington, D.C.' for question 44.",44,,No
Democratic Party,n.,one major U.S. political party,One of the two major political parties in the United States,民主党,mín zhǔ dǎng,Partido Demócrata,"In civics class, we learned the word 'Democratic Party' for question 45.",45,,No
Republican Party,n.,one major U.S. political party,One of the two major political parties in the United States,共和党,gòng hé dǎng,Partido Republicano,"In civics class, we learned the word 'Republican Party' for question 45.",45,,No
political party,n.,a group organized to win elections and govern,Democrats and Republicans are major U.S. political parties,政党,zhèng dǎng,partido político,"In civics class, we learned the word 'political party' for question 45.",45,,No
major,adj.,large or important,Describes the main political parties or events,主要的,zhǔ yào de,principal,"In civics class, we learned the word 'major' for question 45.",45,,No
Speaker of the House,n.,leader of the House of Representatives,The House leader who is also in the presidential line of succession,众议院议长,zhòng yì yuàn yì zhǎng,presidente de la Cámara,"In civics class, we learned the word 'Speaker of the House' for question 47.",47,,No
line of succession,n.,order of who takes office next,The order for replacing the President if needed,继任顺序,jì rèn shùn xù,línea de sucesión,"In civics class, we learned the word 'line of succession' for question 47.",47,,No
incapable,adj.,not able to do something,"If the President is incapable, another official may serve",不能胜任的,bù néng shèng rèn de,incapaz,"In civics class, we learned the word 'incapable' for question 47.",47,,No
naturalization,n.,the process of becoming a citizen,The legal process immigrants use to become U.S. citizens,入籍,rù jí,naturalización,"In civics class, we learned the word 'naturalization' for question 48.",48,,No
Oath of Allegiance,n.,a formal promise of loyalty,The promise taken at the naturalization ceremony,效忠宣誓,xiào zhōng xuān shì,Juramento de Lealtad,"In civics class, we learned the word 'Oath of Allegiance' for question 53.",53,,No
promise,v./n.,to say you will surely do something,Applicants promise loyalty and duties in the Oath,承诺,chéng nuò,prometer/promesa,"In civics class, we learned the word 'promise' for question 53.",53,,No
loyalty,n.,faithful support,A key idea in allegiance to the United States,忠诚,zhōng chéng,lealtad,"In civics class, we learned the word 'loyalty' for question 53.",53,,No
renounce,v.,to formally give up,"In the Oath, applicants give up loyalty to other governments",放弃,fàng qì,renunciar,"In civics class, we learned the word 'renounce' for question 53.",53,,No
bear arms,v. phrase,to carry or use weapons in service,A possible duty in the Oath when required by law,服兵役,fú bīng yì,tomar las armas,"In civics class, we learned the word 'bear arms' for question 53.",53,,No
noncombatant,adj.,not fighting with weapons,A possible military-related service without combat,非战斗的,fēi zhàn dòu de,no combatiente,"In civics class, we learned the word 'noncombatant' for question 53.",53,,No
service,n.,work done to help a country or community,Citizens may perform military or civilian service when required,服务,fú wù,servicio,"In civics class, we learned the word 'service' for question 53.",53,,No
required,adj.,must be done,Some duties are required by law,必需的,bì xū de,requerido,"In civics class, we learned the word 'required' for question 53.",53,,No
civic,adj.,about citizenship and public life,Civic responsibilities include voting and serving on a jury,公民的,gōng mín de,cívico,"In civics class, we learned the word 'civic' for question 55.",55,,No
responsibility,n.,a duty or job you should do,Citizens have responsibilities such as voting and obeying laws,责任,zé rèn,responsabilidad,"In civics class, we learned the word 'responsibility' for question 55.",55,,No
jury,n.,a group of people who decide facts in a trial,Citizens may be called to serve on a jury,陪审团,péi shěn tuán,jurado,"In civics class, we learned the word 'jury' for question 55.",55,,No
serve on a jury,v. phrase,to work as a juror in court,A responsibility of U.S. citizenship,担任陪审员,dān rèn péi shěn yuán,servir en un jurado,"In civics class, we learned the word 'serve on a jury' for question 55.",55,,No
vote,v./n.,to choose in an election,A right and responsibility of citizens,投票,tóu piào,votar/voto,"In civics class, we learned the word 'vote' for question 55.",55,,No
election,n.,a process where people vote to choose leaders,Citizens vote in elections for public officials,选举,xuǎn jǔ,elección,"In civics class, we learned the word 'election' for question 55.",55,,No
federal election,n.,an election for national offices,Only U.S. citizens can vote in federal elections,联邦选举,lián bāng xuǎn jǔ,elección federal,"In civics class, we learned the word 'federal election' for question 57.",57,,No
run for office,v. phrase,to be a candidate for an elected job,Only citizens can run for federal office,竞选公职,jìng xuǎn gōng zhí,postularse a un cargo,"In civics class, we learned the word 'run for office' for question 57.",57,,No
candidate,n.,a person trying to be elected,A person running for public office,候选人,hòu xuǎn rén,candidato,"In civics class, we learned the word 'candidate' for question 57.",57,,No
public office,n.,an elected or appointed government job,"A government position such as mayor, governor, or senator",公职,gōng zhí,cargo público,"In civics class, we learned the word 'public office' for question 57.",57,,No
passport,n.,an official travel document,U.S. citizens can apply for a U.S. passport,护照,hù zhào,pasaporte,"In civics class, we learned the word 'passport' for question 57.",57,,No
apply,v.,to formally ask for something,People apply for naturalization or a passport,申请,shēn qǐng,solicitar,"In civics class, we learned the word 'apply' for question 57.",57,,No
benefit,n.,an advantage or help,Citizens receive benefits and protections of citizenship,福利/好处,fú lì / hǎo chù,beneficio,"In civics class, we learned the word 'benefit' for question 57.",57,,No
freedom of expression,n.,right to share ideas,One right of everyone living in the United States,表达自由,biǎo dá zì yóu,libertad de expresión,"In civics class, we learned the word 'freedom of expression' for question 59.",59,,No
